search_city,name,company,state,city,salary,location,url
berlin,Data Scientist,Weidmller Interface GmbH & Co. KG,,Detmold,,Detmold,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=43297&s=58&guid=00000161290e2a238b2eee519ad4d287&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cs=1_f946d1fa&cb=1516812249913&jobListingId=2581320619
berlin,Trainee Data Scientist (w/m),PwC,,München,,München,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=4120&s=58&guid=00000161290e2a238b2eee519ad4d287&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cs=1_67a28c65&cb=1516812249916&jobListingId=2615215021
berlin,Data Scientist Consultant - (m/f),Amazon,,München,,München,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=295207&s=58&guid=00000161290e2a238b2eee519ad4d287&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cs=1_8c61e923&cb=1516812249923&jobListingId=2585863682
berlin,Data Scientist/Statistiker/,Ford Motor Company,,Köln,,Köln,https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=4120&s=58&guid=00000161290e2a238b2eee519ad4d287&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cs=1_cc1bdade&cb=1516812249926&jobListingId=2618683691
berlin,Lead Data Scientist,Futurice,,München,,München,https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=4120&s=58&guid=00000161290e2a238b2eee519ad4d287&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cs=1_a8f4c3a0&cb=1516812250040&jobListingId=2547282010
berlin,Data Scientist (m/f),Oberlo,,Berlin,,Berlin,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=14295&s=58&guid=00000161290e2a238b2eee519ad4d287&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a03b2129&cb=1516812250042&jobListingId=2518330737
berlin,Data Scientist - Personalization,Zalando,,Berlin,,Berlin,https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=293069&s=58&guid=00000161290e2a238b2eee519ad4d287&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cs=1_441dc2dd&cb=1516812250044&jobListingId=2548910837
berlin,Senior Data Scientist (m/f),Siemens PLC,,Garching b.München,,Garching b.München,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=201281&s=58&guid=00000161290e2a238b2eee519ad4d287&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cs=1_e3efa98e&cb=1516812250046&jobListingId=2634165873
berlin,Data Scientist,Trommsdorff + Drner,,Berlin,,Berlin,https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=4120&s=58&guid=00000161290e2a238b2eee519ad4d287&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_4f164e9e&cb=1516812250049&jobListingId=2585530622
berlin,Data Scientist/Machine Learning Developer (m/f),Continental,,Frankfurt,,Frankfurt,https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=290626&s=58&guid=00000161290e2a238b2eee519ad4d287&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cs=1_eb8ca109&cb=1516812250051&jobListingId=2594631224
berlin,Data Scientist (m/w),ACONEXT Holding,,Fellbach,,Fellbach,https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=4120&s=58&guid=00000161290e2a238b2eee519ad4d287&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cs=1_01945bfb&cb=1516812250053&jobListingId=2610343528
berlin,Data Scientist (m/w),fme,,Braunschweig,,Braunschweig,https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=4120&s=58&guid=00000161290e2a238b2eee519ad4d287&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cs=1_0ac7ac4a&cb=1516812250055&jobListingId=2566932542
berlin,Data Scientist (m/w),Stern-Wywiol Gruppe GmbH & Co. KG,,Hamburg,,Hamburg,https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=114106&s=58&guid=00000161290e2a238b2eee519ad4d287&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cs=1_32bc4dc2&cb=1516812250057&jobListingId=2638563817
stuttgart,Data Scientist / Data Engineer,Zoi  HOT,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=52572&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_740c16e6&cb=1516812251971&jobListingId=2611724051
stuttgart,Data Scientist (m/w),ACONEXT Holding  HOT,,Fellbach,,Fellbach,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4120&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6a8dc2e1&cb=1516812251972&jobListingId=2610343528
stuttgart,Data Scientist (m/w),ORSAY GmbH  NEU,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=212544&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_55e5a9cc&cb=1516812251973&jobListingId=2644826696
stuttgart,Data Scientist / Data Expert IoT im Bereich Future Transportation@Vans,Daimler AG,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=114106&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0d3bb983&cb=1516812251974&jobListingId=2637822872
